,system:index,AC_AREA,COVERAGE_SCORE,DATE,DGO_FID,MEAN_AC_NDVI,MEAN_AC_NDWI,MEAN_NDVI,MEAN_NDWI,MEAN_VEGETATION_NDVI,MEAN_VEGETATION_NDWI,MEAN_WATER_NDWI,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,.geo
11,00000000000000000034,0.0,100.0,2021-07-12,26,,,0.5262463916194734,-0.689215994635906,0.5262524534871412,-0.6892222498491499,,48411.0,3621.821991626228,0.0,0.0,
12,00000000000000000035,0.0,100.0,2021-07-17,26,,,0.5560170699908311,-0.614297244664185,0.5560247834156672,-0.6143039850894161,,48411.0,3621.821991626228,0.0,0.0,
13,00000000000000000036,0.0,100.0,2021-07-18,26,,,0.5511438254539204,-0.6206882506581511,0.5511545461402888,-0.6206996614697231,,48411.0,3621.821991626228,0.0,0.0,
14,00000000000000000037,0.0,100.0,2021-07-20,26,,,0.5576338423820111,-0.6365811273383494,0.5576419141409994,-0.6365874162554065,,48411.0,3621.821991626228,0.0,0.0,
15,00000000000000000038,0.0,100.0,2021-07-21,26,,,0.5384964684209357,-0.6205038738402013,0.5385041889784837,-0.6205125930767695,,48411.0,3621.821991626228,0.0,0.0,
16,00000000000000000039,0.0,100.0,2021-07-22,26,,,0.5612626372103019,-0.6225462229595837,0.5612686217425644,-0.6225520537451502,,48411.0,3621.821991626228,0.0,0.0,
17,0000000000000000003a,0.0,100.0,2021-07-23,26,,,0.5599394496151034,-0.6481290831977614,0.5599434441505498,-0.648135986430125,,48411.0,3621.821991626228,0.0,0.0,
18,0000000000000000003b,0.0,100.0,2021-07-26,26,,,0.5621726239157075,-0.6275751926707401,0.5621781013301066,-0.6275817667238371,,48411.0,3621.821991626228,0.0,0.0,
19,0000000000000000003c,0.0,100.0,2021-07-29,26,,,0.5487050079692842,-0.6226537310947253,0.5487145218728106,-0.6226603092662173,,48411.0,3621.821991626228,0.0,0.0,
20,0000000000000000003d,0.0,100.0,2021-08-05,26,,,0.5341895280744537,-0.5961574418611871,0.5341943034019707,-0.5961617674166309,,48411.0,3621.821991626228,0.0,0.0,
21,0000000000000000003e,0.0,100.0,2021-08-08,26,,,0.5808292082386414,-0.6183181639625959,0.5808333269782812,-0.61832079185723,,48411.0,3621.821991626228,0.0,0.0,
22,0000000000000000003f,53.0,100.0,2021-08-09,26,0.1712940072799201,-0.2576528005517034,0.5490696739119678,-0.6129831217383194,0.5490785513241081,-0.6129888122401479,,48411.0,3621.821991626228,0.0,0.0,
23,00000000000000000040,0.0,100.0,2021-08-11,26,,,0.580991340650494,-0.6252704359665486,0.5810003916612011,-0.6252772083319588,,48411.0,3621.821991626228,0.0,0.0,
24,00000000000000000041,0.0,100.0,2021-08-14,26,,,0.5256130581627712,-0.6198689322399441,0.525623419996916,-0.6198743185428115,,48411.0,3621.821991626228,0.0,0.0,
25,00000000000000000042,0.0,100.0,2021-08-21,26,,,0.5433757974857252,-0.6332562376126732,0.5433871314826124,-0.6332661071856736,,48411.0,3621.821991626228,0.0,0.0,
26,00000000000000000043,0.0,100.0,2021-08-23,26,,,0.5307910953260598,-0.6366437699224727,0.5308036585756603,-0.6366537375176107,,48411.0,3621.821991626228,0.0,0.0,
27,00000000000000000044,0.0,100.0,2021-08-26,26,,,0.5323367985620351,-0.598896851994683,0.5323466262498988,-0.5989056035416381,,48411.0,3621.821991626228,0.0,0.0,
28,00000000000000000045,0.0,100.0,2021-08-29,26,,,0.5114130764798358,-0.594512257460373,0.5114177441386305,-0.594518730078256,,48411.0,3621.821991626228,0.0,0.0,
29,00000000000000000046,0.0,100.0,2021-08-31,26,,,0.5552873421900353,-0.6024580414088692,0.5552997561614533,-0.6024698572033804,,48411.0,3621.821991626228,0.0,0.0,
30,00000000000000000047,0.0,100.0,2021-09-04,26,,,0.5750019286526094,-0.6076724877548866,0.5750108813006648,-0.6076809161461165,,48411.0,3621.821991626228,0.0,0.0,
31,00000000000000000048,0.0,100.0,2021-09-06,26,,,0.5363485466885123,-0.591268555985461,0.5363588429173218,-0.5912759712558743,,48411.0,3621.821991626228,0.0,0.0,
32,00000000000000000049,0.0,100.0,2021-09-11,26,,,0.5327936134833725,-0.6005458578369114,0.5328097419966615,-0.6005582941862406,,48411.0,3621.821991626228,0.0,0.0,
33,0000000000000000004a,0.0,100.0,2021-09-18,26,,,0.5699561990613915,-0.6018477399752813,0.5699670133923846,-0.6018537450125527,,48411.0,3621.821991626228,0.0,0.0,
34,0000000000000000004b,0.0,100.0,2021-09-21,26,,,0.536057448752397,-0.622288398742358,0.5360677311932013,-0.6222956111518066,,48411.0,3621.821991626228,0.0,0.0,
35,0000000000000000004c,0.0,100.0,2021-09-24,26,,,0.5318034145390932,-0.6068005074486404,0.5318132857748333,-0.6068080596321619,,48411.0,3621.821991626228,0.0,0.0,
36,0000000000000000004e,0.0,100.0,2021-09-29,26,,,0.5728105381723366,-0.6069879926587111,0.5728180846688814,-0.6069921229634555,,48411.0,3621.821991626228,0.0,0.0,
37,00000000000000000053,7.0,100.0,2021-10-26,26,0.1817697784920555,-0.2462861646705632,0.5644899294653388,-0.6067898801419503,0.5644999791381247,-0.6067981849060209,,48411.0,3621.821991626228,0.0,0.0,
38,00000000000000000054,0.0,100.0,2021-10-28,26,,,0.6004862363755915,-0.6252426911330115,0.6004904314340244,-0.6252505537984661,,48411.0,3621.821991626228,0.0,0.0,
39,00000000000000000057,0.0,100.0,2021-11-20,26,,,0.5580166972505891,-0.6500306753582805,0.5580252113880574,-0.6500406121800008,,48411.0,3621.821991626228,0.0,0.0,
40,00000000000000000059,0.0,100.0,2021-12-02,26,,,0.5977944628862334,-0.6738542594859367,0.5977994001568593,-0.6738619012375036,,48411.0,3621.821991626228,0.0,0.0,
41,0000000000000000005c,0.0,100.0,2021-12-30,26,,,0.5883216038387363,-0.5612309817199658,0.5883292590903864,-0.5612416080623551,,48411.0,3621.821991626228,0.0,0.0,
42,0000000000000000002c,293.0,100.0,2021-06-16,26,0.1723574706619549,-0.348609159705294,0.4915142488847887,-0.6261786632244151,0.4915949914507362,-0.6262467919330813,,48401.0,3661.313455017203,0.0,0.0,
43,00000000000000000016,1127.0,100.0,2021-04-04,26,0.1738909542975531,-0.3379088353815247,0.4131843185320027,-0.546426679336462,0.4136772036185398,-0.5468471559973272,,48329.0,3849.287314466167,0.0,0.0,
44,00000000000000000018,98.0,100.0,2021-04-07,26,0.1800687288276547,-0.2575088459504656,0.4733248955340143,-0.5199870934600657,0.4733415849786133,-0.5199989983376376,-0.2367064305179351,48411.0,3621.821991626228,3.0,21.710784717053237,
45,00000000000000000024,13.0,100.0,2021-05-11,26,0.173461827801291,-0.2266900027801483,0.5362734904407155,-0.5834227901120761,0.536280627819575,-0.5834299230054856,-0.2157372744704363,48411.0,3621.821991626228,7.0,33.236939027378824,
46,00000000000000000052,34.0,100.0,2021-10-24,26,0.1847887932008332,-0.259570823117589,0.532733719560857,-0.5971654177226423,0.5327423903538455,-0.5971719475906322,-0.2292376263352561,48411.0,3621.821991626228,16.0,47.1042864675006,
47,00000000000000000011,4344.0,100.0,2021-03-28,26,0.166038438361539,-0.3085886541622969,0.3897290507005101,-0.514096255709754,0.3950431699125894,-0.518346285993663,-0.2235825989693917,47498.0,5059.23200180417,12.0,37.95181881149429,
48,00000000000000000019,546.0,100.0,2021-04-08,26,0.1721864826033962,-0.2756136030992069,0.4608672289353134,-0.5315945539592928,0.4612313393812949,-0.5319151902708836,-0.2359867049400655,39592.0,3238.3295518080254,20.0,81.47966567034712,
49,00000000000000000058,196.0,100.0,2021-11-30,26,0.1691308578673667,-0.2616781394227293,0.5337272634322217,-0.5819493521902457,0.5337386590675927,-0.5819591748239276,-0.2165934667438532,48411.0,3621.821991626228,8.0,41.22116646837942,
50,00000000000000000051,258.0,100.0,2021-10-17,26,0.1780061951810366,-0.2577080221582327,0.5713659553661157,-0.6100513825716611,0.5713744816167375,-0.6100580151547889,-0.2329826119773773,48411.0,3621.821991626228,47.0,120.90288975065673,
51,0000000000000000002d,599.0,100.0,2021-06-25,26,0.171597158482161,-0.2722755827056512,0.5393350685484253,-0.6088825094875775,0.5393619056582909,-0.6089045013597063,-0.2379605635749651,48409.0,3639.824060789477,10.0,68.61957588091268,
52,00000000000000000003,680.0,100.0,2021-02-10,26,0.1786605676943827,-0.2549632090314451,0.478577461742018,-0.5230789507181529,0.4788733204470937,-0.5233380874128679,-0.2240866161524521,48374.0,3725.736335091524,113.0,199.9898370994572,
53,0000000000000000002a,1520.0,100.0,2021-06-10,26,0.1653758538677187,-0.2964843588456879,0.5053417713133119,-0.6146411674350655,0.5074981855043417,-0.6166605396008168,-0.2281938783621452,48139.0,4138.99306206882,40.0,114.97693996762987,
54,0000000000000000001f,2314.0,100.0,2021-04-24,26,0.1660663311562458,-0.3006650251148579,0.4277890656996204,-0.5489174988109768,0.4300826324312209,-0.5510074709264001,-0.2292769900093395,48056.0,4267.984161086753,39.0,114.2774280129113,
55,00000000000000000025,8206.0,100.0,2021-05-14,26,0.030308739304553,-0.1506323588136033,0.4338165252880933,-0.5469852529885307,0.5024514451927459,-0.6141362945520141,-0.1056221394171044,41901.0,7026.4335150405,6133.0,3596.951284924761,
56,00000000000000000021,7122.0,100.0,2021-05-03,26,0.0864845886805683,-0.168013783744549,0.458002485846753,-0.5256255983815208,0.508680955010335,-0.5743593705342401,-0.1527523946446178,42957.0,7113.332883117709,6146.0,3696.529497310906,
57,00000000000000000005,8560.0,100.0,2021-02-13,26,0.0354441722388505,-0.115933990648751,0.3956992661770934,-0.4613456552353079,0.4592588839491889,-0.5224108016828491,-0.0931267157416004,41805.0,7135.873690757212,7445.0,3541.597626248994,
58,00000000000000000004,8008.0,100.0,2021-02-11,26,0.0748507079648609,-0.1662403648429648,0.4433062158524503,-0.4936678743716636,0.4998381049442002,-0.5442217768392682,-0.1414559176126541,42465.0,7273.900540250434,6476.0,3838.1144821645503,
59,0000000000000000001e,1071.0,100.0,2021-04-23,26,0.1681144889219126,-0.2647326122577486,0.4629271081737952,-0.5340899218352907,0.4637827259103139,-0.5348538187590571,-0.2202400004487123,48294.0,3878.040093091414,140.0,279.7595423364383,
60,00000000000000000017,1633.0,100.0,2021-04-05,26,0.1724719437572814,-0.2824507827669832,0.4246258715204707,-0.5185769577126852,0.4252717136909091,-0.5191669482524471,-0.2333605322187457,48308.0,3888.201133680968,53.0,177.98217463377188,
61,00000000000000000012,1151.0,100.0,2021-03-29,26,0.1715376877299365,-0.2768383003548735,0.4410509258795439,-0.5126910566605389,0.4418476235902124,-0.5133682548361591,-0.2224744068681566,48290.0,3901.688243655835,39.0,124.66887876742744,
62,0000000000000000000d,1242.0,100.0,2021-03-18,26,0.1602300785599186,-0.2770754976195776,0.4739453634531334,-0.5347162132753783,0.4757833152694348,-0.5362106063217252,-0.2266185214153804,48159.0,4206.337496732329,110.0,217.6214617345397,
63,00000000000000000055,2798.0,100.0,2021-11-05,26,0.101866918970026,-0.1567171965616472,0.5252567194806274,-0.5660568629349064,0.5437182898943009,-0.5838434266930317,-0.1603283739489734,46526.0,6017.7393507451325,2961.0,2877.1634776290484,
64,00000000000000000022,4708.0,100.0,2021-05-07,26,0.0669650808120751,-0.1454328301727838,0.48941717957524,-0.5557802371292639,0.5257892385563452,-0.5911329943530119,-0.1251192060346839,44846.0,6655.979134197876,4014.0,3211.8971868384992,
65,00000000000000000029,1116.0,100.0,2021-06-05,26,0.1609564973020374,-0.2742581020604544,0.5356313922739162,-0.6094062064192881,0.5374752326527393,-0.6110522094869817,-0.2160576131274457,48195.0,4126.17527023417,109.0,268.5564626495715,
66,00000000000000000028,1834.0,100.0,2021-06-03,26,0.1449421102601448,-0.2876764378778777,0.5074421452594257,-0.6111428875204963,0.5134319025652949,-0.6164309817586741,-0.21177947889821,47694.0,4813.476426162331,152.0,350.25491084386664,
67,00000000000000000013,4903.0,100.0,2021-03-30,26,0.1622471329647511,-0.2987279141195939,0.386938520288231,-0.513083386665,0.394218064056978,-0.5193169653030485,-0.2228004893073574,47179.0,5373.169517258333,170.0,358.329726619488,
68,00000000000000000027,3159.0,100.0,2021-05-26,26,0.0984993238352789,-0.1692357915394112,0.5262759450677054,-0.5780331343445848,0.5491727055795618,-0.5999278715122136,-0.159436494606885,46088.0,6256.030211259358,2847.0,3010.3184768226674,
69,00000000000000000026,6125.0,100.0,2021-05-19,26,0.0468145145092562,-0.1512851724193705,0.4645353147577349,-0.5608281638587866,0.5126505193238895,-0.6080090274827739,-0.1056901428734982,43845.0,6905.967303800231,4503.0,3473.2580660734047,
70,0000000000000000004d,236.0,100.0,2021-09-28,26,0.1739155484752986,-0.224751892462651,0.5166341165749792,-0.5565703507062157,0.5166398860121213,-0.5565777669551024,-0.2219893867504999,48411.0,3621.821991626228,220.0,441.3500165130945,
71,0000000000000000004f,460.0,100.0,2021-10-10,26,0.1677283729507087,-0.248698900702361,0.5723934246129272,-0.6189461909260386,0.5725383602232461,-0.6190777715053308,-0.2192812830043271,48396.0,3669.609854581622,142.0,361.7217963901809,
72,0000000000000000000e,1303.0,100.0,2021-03-20,26,0.1658295354850803,-0.2727826566827387,0.4619855112292136,-0.5259090019702779,0.4629771062616227,-0.5267539907409212,-0.2220033064884523,48274.0,3982.704949743552,94.0,286.0745952029974,
73,0000000000000000000f,3096.0,100.0,2021-03-24,26,0.1528086502575682,-0.2838383724562652,0.4125575174885961,-0.51615238453053,0.4196174580459403,-0.5221554592251791,-0.2267990572111658,47309.0,5141.22167271168,294.0,610.6678239247153,
74,00000000000000000023,5144.0,100.0,2021-05-09,26,0.0899688571744018,-0.2277541117238218,0.4857193442356946,-0.6166489844735348,0.5185184518063777,-0.6481161719204882,-0.1673723036593851,45082.0,6530.260551974264,2565.0,2757.574714890578,
75,00000000000000000007,4398.0,100.0,2021-02-23,26,0.1209710169418461,-0.3190658920696289,0.3529521548498252,-0.5509860755605235,0.3696274877038888,-0.5672777395604682,-0.1911347165514672,45495.0,6543.252536888901,82.0,215.52988852122104,
76,0000000000000000001c,1212.0,100.0,2021-04-14,26,0.1666831931247787,-0.2617146865580723,0.4766854659798252,-0.554726210249404,0.4775632962406661,-0.5555368107846267,-0.2307166957989887,48292.0,3974.097418408664,218.0,562.0515961367363,
77,0000000000000000000c,1162.0,100.0,2021-03-10,26,0.1632724961356023,-0.2492388507870383,0.4748596335069694,-0.5150892015349755,0.4760961551777548,-0.5161678475776292,-0.2191147749432908,48245.0,4058.9782063451535,397.0,789.4932109265882,
78,00000000000000000006,9872.0,100.0,2021-02-20,26,0.0679898307356141,-0.202055086698486,0.361459527384632,-0.4902095831004299,0.4114872797417008,-0.5385252323968368,-0.1000917627863051,42637.0,7010.440433593615,4609.0,3301.735202485328,
79,00000000000000000002,8840.0,100.0,2021-01-26,26,0.0616208191388702,-0.1632350931530992,0.4105125440066545,-0.5081010809511979,0.4646796042441553,-0.5615260703352304,-0.102620889942947,42814.0,7253.130442937048,5727.0,3897.080569067818,
80,0000000000000000000a,2734.0,100.0,2021-03-05,26,0.1503736287774285,-0.2919030432369016,0.4038721912837445,-0.5192128766308065,0.4099846594916054,-0.5246577892593587,-0.2239691913356379,47411.0,5409.344335293024,144.0,418.4762255810061,
81,0000000000000000001b,3061.0,100.0,2021-04-13,26,0.1529232070296603,-0.2644240718038644,0.438373350190673,-0.5434519796305212,0.4461563669707981,-0.550998986114142,-0.2187214981750864,47276.0,5216.04965605265,789.0,1232.6799455412215,
82,0000000000000000005b,2508.0,100.0,2021-12-14,26,0.0964203648148311,-0.2237771132494537,0.5021520957359067,-0.6055406430135509,0.5180950582891772,-0.6205614277128414,-0.172320218441089,46717.0,5643.389724570153,1315.0,1731.6378366207714,
83,0000000000000000005a,2236.0,100.0,2021-12-06,26,0.1067961581985745,-0.1810115309431224,0.5558177107296709,-0.591092832504781,0.5707883741475245,-0.604832735082592,-0.1653199210283912,46950.0,5793.40678734205,1868.0,2520.873082623143,
84,00000000000000000001,4320.0,100.0,2021-01-24,26,0.127054103205092,-0.1572712190486498,0.5149632949055892,-0.5064584671140389,0.5369101033138988,-0.5262817910775047,-0.1762523418332984,46044.0,5980.05883179841,5791.0,3743.754870766005,
85,00000000000000000009,5369.0,100.0,2021-02-28,26,0.1023387713619034,-0.2574971295410089,0.3733767645636128,-0.5245673987184636,0.3974392786549465,-0.5476091729387559,-0.1942281866187541,44967.0,6490.899069404853,2215.0,2685.354725160301,
86,00000000000000000050,1504.0,100.0,2021-10-13,26,0.1373290044230601,-0.2084221677547732,0.5386094581021799,-0.5886562721374778,0.544755854658876,-0.5944602705922485,-0.1956633042655618,47743.0,4782.936764048684,1174.0,1677.0980290288169,
87,00000000000000000010,2083.0,100.0,2021-03-27,26,0.1650993875622212,-0.2557054608295644,0.4428148843327085,-0.5010433653976188,0.4457278963319235,-0.5035763830061304,-0.2172791302409508,47984.0,4358.692725012303,503.0,878.1898707485152,
88,0000000000000000001a,3531.0,100.0,2021-04-12,26,0.1418937207699791,-0.2265766112113432,0.4202651947808435,-0.4881300861879426,0.4309864371197467,-0.4981502658119596,-0.2030333559635914,46820.0,5516.969859212744,2263.0,2263.578023392341,
89,00000000000000000056,2591.0,100.0,2021-11-06,26,0.0863317223416134,-0.1791679386010525,0.5474297061598608,-0.6365860324881005,0.5660630733866946,-0.6550130461923347,-0.1510750744114351,46668.0,5979.504141992243,1914.0,2441.418728647164,
90,0000000000000000000b,4729.0,100.0,2021-03-08,26,0.1414643269215982,-0.2804458333641375,0.3952039905062593,-0.5134410958972859,0.4084996644156899,-0.525093667320332,-0.2160721111647496,46352.0,5962.941502616384,736.0,1343.0397914399891,
91,00000000000000000008,11224.0,100.0,2021-02-26,26,0.1363748695293862,-0.3237948570404078,0.2520022795594712,-0.4583474998371781,0.270846071361793,-0.4780092578636324,-0.2242114464343676,43294.0,6872.250522715726,309.0,743.055093240874,
92,00000000000000000000,1534.0,100.0,2021-01-18,26,0.1577942189157222,-0.2233426566949339,0.5199464300291753,-0.5340313500414512,0.5230096378581145,-0.5366767944340655,-0.2150193925463744,48042.0,4386.133938309348,1233.0,1981.863324626,
